Sport,League,Time,Team 1,Team 2,Odds 1,Odds X,Odds 2
Football,Challenge Cup,14:15,Tarxien,Pieta,2.58,3.20,2.45
Football,Jupiler Pro League,14:30,Club Brugge KV,Royale Union SG,1.96,3.46,3.88
Football,Jupiler Pro League,14:30,Lokeren-Temse,RWDM,3.17,3.26,2.22
Football,Jupiler Pro League,14:30,Patro Eisden,Beveren,2.24,3.26,3.07
Football,Paranaense U20,14:30,Cascavel U20,Hope Internacional U20,1.85,3.56,3.54
Football,Tercera RFEF - Group 11,14:30,Campos,Platges de Calvia,4.30,3.40,1.75
Football,League One,14:45,Stevenage,Birmingham,4.23,3.25,1.93
Football,Brasileiro U20,15:00,Palmeiras U20,Corinthians U20,1.44,4.36,5.85
Football,Coppa Italia,15:00,Bologna,Empoli,1.38,4.64,8.77
Football,Botola 2,15:00,KAC Kenitra,Youssoufia Berrechid,2.02,2.83,4.09
Football,Eredivisie,15:00,Twente,PSV,4.61,4.56,1.62
Football,Besta deild karla,15:15,Afturelding,Vikingur Reykjavik,5.48,4.70,1.47
Football,LaLiga,15:30,Atl. Madrid,Rayo Vallecano,1.50,4.29,6.82
Football,LaLiga,15:30,Betis,Valladolid,1.17,8.01,15.57
Football,Serie B,16:30,Nueve de Octubre,Cumbaya,2.66,2.93,2.68
Football,Liga Nacional,17:00,Deportivo Mixco,Antigua,2.20,3.08,3.23
Football,Premier League,17:00,Cavalier,Mount Pleasant,3.62,2.98,2.09
Football,Liga Premier Serie B,Live,Artesanos Metepec,Pachuca 2,2.00,3.34,3.38
Football,Copa Libertadores,Live,Bolivar (Bol),Palmeiras (Bra),2.52,3.26,2.83
Football,Copa Libertadores,Live,Central Cordoba (Arg),Dep. Tachira (Ven),1.37,4.40,9.67
Football,Copa Sudamericana,Live,Corinthians (Bra),Racing Montevideo (Uru),1.29,5.27,10.06
Football,Copa Sudamericana,Live,Godoy Cruz (Arg),Gremio (Bra),3.18,2.76,2.60
Football,Serie B,20:00,Chacaritas,Guayaquil City,4.34,3.43,1.76
Football,Liga de Expansion MX,20:00,Venados,Zacatecas Mineros,2.74,3.37,2.36
Football,Copa Libertadores,20:00,Bahia (Bra),Atl. Nacional (Col),1.92,3.46,4.05
Football,MLS Next Pro,20:00,Colorado Rapids 2,Minnesota 2,2.54,3.85,2.28
Football,Copa Libertadores,20:30,Cerro Porteno (Par),Sporting Cristal (Per),1.63,3.76,5.54
Football,Copa Sudamericana,20:30,Palestino (Chi),Cruzeiro (Bra),3.00,3.14,2.43
Football,Copa Sudamericana,20:30,Deportes Iquique (Chi),Cienciano (Per),1.82,3.54,4.27
Football,Serie B Superbet,20:35,Novorizontino,Athletico-PR,2.41,2.87,3.28
Football,Liga MX Women,21:00,Guadalajara Chivas W,UNAM Pumas W,1.81,3.63,3.84
Football,Liga Nacional,22:00,Xelaju,Coban Imperial,1.52,3.76,5.80
Football,Copa Sudamericana,22:00,U. Catolica (Ecu),Defensa y Justicia (Arg),1.62,3.70,5.67
Football,Liga de Expansion MX,22:05,Tepatitlan de Morelos,Leones Negros,2.55,3.32,2.58
Football,CONCACAF Champions Cup,22:30,Vancouver Whitecaps,Inter Miami,2.20,3.53,3.04
Football,NPL NSW,23:30,Sydney FC U23,Sutherland Sharks,2.20,3.72,2.69
Basketball,NBL,03:00,Manawatu Jets,Tauranga Whai,1.31,N/A,3.15
Basketball,MPBL,04:00,Bacolod Tubo Slashers,Zamboanga Sikat,6.18,N/A,1.10
Basketball,NBL1 South Women,04:30,Frankston W,Dandenong Rangers W,4.60,N/A,1.17
Basketball,NBL1 South Women,04:30,Melbourne Tigers W,Nunawading W,1.02,N/A,9.95
Basketball,MPBL,06:00,Quezon City,Marikina Verdiamonds,1.57,N/A,2.30
Basketball,KBL,06:00,LG Sakers,Mobis Phoebus,1.55,N/A,2.38
Basketball,NBL1 South,06:30,Frankston,Dandenong,1.50,N/A,2.44
Basketball,NBL1 South,06:30,Melbourne Tigers,Nunawading,1.31,N/A,3.14
Basketball,NBL1 West Women,06:30,Mandurah Magic W,South West Slammers W,1.01,N/A,12.03
Basketball,P. League+,07:00,Fubon Braves,Tainan TSG GhostHawks,1.45,N/A,2.61
Basketball,Superleague,08:00,TSU,Rashi,1.42,N/A,2.69
Basketball,IBL,08:00,Bima Perkasa Yogyakarta,Satria Muda,11.04,N/A,1.01
Basketball,MPBL,08:00,Rizal Golden Coolers,San Juan Knights,2.71,N/A,1.42
Basketball,TBL,08:00,Harem Spor,Balikesir,1.72,N/A,2.03
Basketball,NBL1 West,08:30,Mandurah Magic,South West Slammers,1.03,N/A,9.19
Basketball,Division 1,10:00,Champville,Antranik Beirut,1.72,N/A,2.01
Basketball,Premier League Women,10:00,UMMC Ekaterinburg W,Nadezhda W,1.02,N/A,9.74
Basketball,Super League,10:30,Palayesh Naft Abadan,Tabiat,1.52,N/A,2.35
Basketball,National League,10:30,Almaty,Irbis Almaty,2.65,N/A,1.45
Basketball,Superleague,11:00,VSA,Gurjaani Delta,1.34,N/A,3.00
Basketball,Moteru Lyga Women,11:00,Klaipedos Neptunas W,Kibirkstis Vilnius W,3.47,N/A,1.27
Basketball,Korisliiga Women,11:30,Torpan Pojat Helsinki W,PeKa W,1.67,N/A,2.08
Basketball,LKL,11:30,Rytas,Neptunas,1.11,N/A,5.63
Basketball,LKL,11:50,Zalgiris Kaunas,Mazeikiai,1.00,N/A,14.38
Basketball,Superliga,12:00,Beselidhja,Teuta Durres,1.04,N/A,7.17
Basketball,Premijer Liga Women,12:00,Tresnjevka 2009 W,Novi Zagreb W,1.20,N/A,4.07
Basketball,Prva Liga,12:00,Mladost,Kastela,2.25,N/A,1.57
Basketball,Korvpalli Meistriliiga,12:00,BC Kalev/Cramo,Keila KK,1.01,N/A,12.00
Basketball,NB I. A Women,12:00,David Kornel KA W,Szigetszentmiklos W,1.35,N/A,2.96
Basketball,Moteru Lyga Women,12:00,Aistes LSU Kaunas W,LCC W,7.76,N/A,1.06
Basketball,Premier League Women,12:00,MBA Moscow W,Enisey Krasnoyarsk W,1.22,N/A,3.84
Basketball,VTB United League,12:30,Zenit Petersburg,Parma Perm,1.02,N/A,11.65
Basketball,Superliga,13:00,BBC Nord,Wels,2.43,N/A,1.51
Basketball,Superliga,13:00,Traiskirchen Lions,Klosterneuburg Dukes,1.32,N/A,3.09
Basketball,Premijer Liga Women,13:00,Ragusa Dubrovnik W,Sibenik W,1.02,N/A,10.44
Basketball,Prva Liga,13:00,Samobor,Jazine,1.26,N/A,3.55
Basketball,Basketligaen,13:00,Holbaek-Stenhus,Bears Academy,1.17,N/A,4.58
Basketball,Basketligaen,13:00,Amager,Vaerlose,1.22,N/A,3.91
Basketball,Superliga,13:00,Peja,Bashkimi,2.12,N/A,1.63
Basketball,BLNO,13:00,Kongsberg Miners,Fyllingen,1.72,N/A,2.02
Basketball,VTB United League,13:00,Lokomotiv Kuban,Uralmash Ekaterinburg,1.10,N/A,5.86
